date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:43	226473/226473	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:18:30%20GMT	https://www.hsbc.co.uk/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/index.html	(from )
16:35:44	187/187	---M-Z	200	added ('OK')	text/plain	date:Fri,%2031%20May%202024%2000:09:34%20GMT	https://www.hsbc.co.uk/robots.txt		(from )
16:35:44	1910/1910	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2018:48:17%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/apple-touch-icon.png	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/apple-touch-icon.png	(from https://www.hsbc.co.uk/)
16:35:44	17958/17958	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2018:46:39%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/favicon-32x32.png	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/favicon-32x32.png	(from https://www.hsbc.co.uk/)
16:35:45	17837/17837	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2019:00:14%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/favicon-16x16.png	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/favicon-16x16.png	(from https://www.hsbc.co.uk/)
16:35:45	499/499	---M--	200	added ('OK')	application/json	date:Thu,%2030%20May%202024%2018:45:23%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/manifest.json	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/manifest.json	(from https://www.hsbc.co.uk/)
16:35:46	892/892	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2030%20May%202024%2019:47:13%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/safari-pinned-tab.svg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/safari-pinned-tab.svg	(from https://www.hsbc.co.uk/)
16:35:46	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2030%20May%202024%2018:51:59%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/favicon.ico	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/favicon.ico	(from https://www.hsbc.co.uk/)
16:35:46	294/294	---M--	200	added ('OK')	text/xml	date:Thu,%2030%20May%202024%2020:24:44%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/browserconfig.xml	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/favicons/browserconfig.xml	(from https://www.hsbc.co.uk/)
16:35:47	35322/35322	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20May%202024%2002:08:41%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/social/logo/Portrait-736x1128px.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/social/logo/Portrait-736x1128px.jpg	(from https://www.hsbc.co.uk/)
16:35:47	56618/56618	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202024%2018:46:29%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/social/logo/Square-1200x1200px.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/social/logo/Square-1200x1200px.jpg	(from https://www.hsbc.co.uk/)
16:35:48	1019862/1019862	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20May%202024%2018:50:18%20GMT	https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-default.min.734d4cfdf5c3c1dfb2c373fec1bcc34b.css	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-default.min.734d4cfdf5c3c1dfb2c373fec1bcc34b.css	(from https://www.hsbc.co.uk/)
